rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-CC420392_ses-P3.long.sub-CC420392_template	917.0	677.0	2553.0	1938.0	468.0	3166.0	5928.0	3371.0	1069.0	5579.0	2703.0	3935.0	2366.0	3430.0	698.0	1228.0	1441.0	822.0	1769.0	1733.0	3943.0	1082.0	4870.0	4224.0	650.0	5426.0	6456.0	6107.0	3646.0	3997.0	440.0	525.0	289.0	2219.0	89663.0	1167179.0	1567569.616513
sub-CC420433_ses-P3.long.sub-CC420433_template	1115.0	807.0	1942.0	1980.0	453.0	3568.0	5741.0	3783.0	968.0	5707.0	2919.0	3317.0	2455.0	3436.0	642.0	1328.0	1280.0	896.0	1492.0	1751.0	4540.0	950.0	4697.0	4743.0	619.0	6473.0	7075.0	5298.0	4003.0	3747.0	390.0	476.0	364.0	2130.0	91084.5	1237907.0	1656985.738948
sub-CC510321_ses-P3.long.sub-CC510321_template	766.0	617.0	1704.0	1270.0	422.0	2575.0	4475.0	2823.0	762.0	3864.0	2159.0	3003.0	1785.0	3095.0	582.0	1263.0	1347.0	660.0	1068.0	1338.0	3898.0	1098.0	4366.0	3304.0	485.0	4285.0	6155.0	5067.0	3383.0	3813.0	297.0	359.0	322.0	2097.0	74508.6	984773.0	1362902.172204
sub-CC510329_ses-P3.long.sub-CC510329_template	704.0	789.0	2671.0	1848.0	401.0	3246.0	4966.0	4115.0	1011.0	5767.0	3060.0	3819.0	2040.0	3680.0	643.0	1664.0	1540.0	836.0	1470.0	1688.0	4127.0	1039.0	6173.0	4347.0	890.0	5736.0	7574.0	5596.0	3748.0	3578.0	318.0	535.0	377.0	2452.0	92448.5	1258879.0	1803214.62112
sub-CC510639_ses-P3.long.sub-CC510639_template	1253.0	792.0	2459.0	1485.0	406.0	2583.0	7156.0	3494.0	926.0	4834.0	2852.0	3084.0	1995.0	3375.0	562.0	1667.0	1635.0	874.0	1439.0	1174.0	4326.0	1083.0	5442.0	4046.0	769.0	5579.0	8163.0	5656.0	4040.0	3713.0	269.0	590.0	410.0	2788.0	90917.7	1137316.0	1568189.221078
sub-CC510648_ses-P3.long.sub-CC510648_template	1013.0	946.0	2957.0	1563.0	401.0	3359.0	5962.0	3390.0	1065.0	5249.0	2773.0	3181.0	2169.0	3702.0	749.0	1705.0	1458.0	769.0	1525.0	1732.0	3624.0	1283.0	4836.0	3990.0	884.0	6024.0	7883.0	5083.0	3998.0	3384.0	286.0	442.0	362.0	2048.0	89797.2	1140869.0	1623181.18056
sub-CC512003_ses-P3.long.sub-CC512003_template	804.0	768.0	2699.0	2107.0	511.0	3670.0	6103.0	3839.0	960.0	6107.0	2880.0	3839.0	2267.0	3900.0	812.0	1974.0	1547.0	975.0	1455.0	2302.0	4360.0	1255.0	5988.0	3846.0	720.0	5548.0	8323.0	4944.0	4106.0	3942.0	334.0	621.0	352.0	2757.0	96616.9	1242707.0	1722676.95435
sub-CC520055_ses-P3.long.sub-CC520055_template	973.0	748.0	2066.0	1421.0	484.0	3095.0	5322.0	3144.0	943.0	5090.0	2524.0	3180.0	1995.0	3318.0	654.0	1823.0	1339.0	899.0	1311.0	1614.0	4187.0	1148.0	5215.0	3685.0	577.0	5448.0	8122.0	4902.0	3566.0	3951.0	327.0	555.0	326.0	2335.0	86287.4	1110102.0	1580892.955352
sub-CC520065_ses-P3.long.sub-CC520065_template	1252.0	1062.0	2749.0	1427.0	444.0	3811.0	7063.0	4263.0	1071.0	5588.0	3002.0	3225.0	2434.0	4747.0	609.0	1614.0	1582.0	912.0	1723.0	1409.0	4424.0	1658.0	5058.0	4208.0	835.0	6884.0	8158.0	5836.0	4048.0	4800.0	309.0	559.0	364.0	2296.0	99424.1	1274152.0	1811481.438678
sub-CC520134_ses-P3.long.sub-CC520134_template	855.0	534.0	2154.0	1595.0	478.0	3238.0	4913.0	3178.0	775.0	4190.0	2143.0	3081.0	2014.0	3151.0	524.0	1645.0	1090.0	672.0	1294.0	1674.0	3921.0	1112.0	4779.0	3680.0	515.0	4849.0	7292.0	5069.0	3522.0	3662.0	328.0	555.0	245.0	2384.0	81111.4	1042558.0	1453917.24937
